Interview Domain,Interview Turns,Human Follow Up Question,No. Of Relevant Speaker Turns,Type
Restaurant finding,"Interviewer: And is delivery relevant to you? Yeah, choosing a restaurant for food delivery, yeah, do you have experience with that? 
Interviewee: How quickly, I think like the biggest thing is how quickly they can get the food to me. If they usually pass food in, I know that's usually nice to have when choosing restaurants. 
Interviewer: So would something like the time to deliver or location help with that? 
Interviewee: Yeah, yeah, how quickly we can get the food today is the biggest factor. And I usually stick to places I've already been to or already ordered from. So I'm not looking from a larger pool, just looking at the same places over and over again. Whereas when I'm going out, I'm trying out new places.","Yeah, so you would say it's more adventurous as well, basically going to a restaurant.",4,Preference
Restaurant finding,"Interviewer: Are there any specific types of cuisines or dishes that you tend to prefer? 
Interviewee: I prefer the cheaper ones, but I also want them to be healthy because I want to stay in good shape. So, I prefer the relatively healthier options. The atmosphere of a restaurant is not so important to me, especially if I go out by myself. But if I go to restaurants with my friends, like for a team party or team dinner or such kinds of occasions, then I pay attention to the atmosphere, but generally, I don't really care.","Okay, okay, do you prioritize restaurants that offer a particular dining experience, like fine dining or casual dining, or themed restaurants like, for example, Harry Potter or Game of Thrones?",1,Preference
Restaurant finding,"Interviewer: Okay, so the next set of questions is going to be about the quality and service. What indicators or signs do you look for to assess the quality of a restaurant?
Interviewee: Yeah, usually I check how tidy or clean the place is. You know, like if they leave the floors too dirty.",How tidy or clean should the place be?,1,Answer probing
Restaurant finding,"Interviewer: So the next set of questions is going to be about value for money. How do you determine whether a restaurant gives good value for the price you're paying? Do you have specific factors such as pricing, portion size, ingredients, or overall dining experience? Like right now, you said the portion size wasn't really great.
Interviewee: Yeah, yeah, I think I'm looking for the right balance. It's about the balance between pricing and the portion size. So even if it is expensive, but it has a great amount of portion, I think I will consider that a good thing. But if it's unbalanced, like it has a great price but a very small portion or little portion, I don't like it. I think I will hate it.
Interviewer: Do you consider the restaurant's price range or affordability when you make your decision, or is it just the other stuff?
Interviewee: The price very much matters to me. I usually tend to go to very affordable restaurants compared to the expensive ones, because I don't like expensive restaurants.","Okay, do you have any strategies for finding good deals or discounts at restaurants? Have you done that actively?",1,Answer probing
Hiking trail finding,"Interviewer: Describe the process that you follow while going on a hiking trail. 
Interviewee: I usually look up the trail in Apple or Google Maps to see how long it is. I also check for any online maps available on the park's website. I wear appropriate clothing for the weather. That's about it.","So, when you say you look it up and look up the trail in maps, how do you decide that this is the trail you want to go with?",1,Answer probing
Hiking trail finding,"Interviewer: Describe the process that you follow while going on a hiking trail.
Interviewee: So, I usually look up the trail in Apple or Google Maps to see how long it is. I also check if there are any online maps for the park on the park's website. I wear appropriate clothing for the weather. That's about it.
Interviewer: So, when you say you look it up and look up the trail in maps, how do you decide that this is the trail you want to go with?
Interviewee: So, I look for trails at parks that don't have kid playgrounds because I think those trails tend not to be as challenging. Yeah, like they're sidewalk kind of trails, but sometimes I'm more than good for a sidewalk. Yeah, especially if it's a really hot day, then I will go for a tree-covered trail; versus sometimes I'll go walk by a lake if it's not a particularly windy day.","Okay, okay, so just a follow-up: you prefer the trail to be in a park, or did you mean that it shouldn't be in a park?",1,clarification
Hiking trail finding,"Interviewer: Describe the process that you follow while going on a hiking trail. 
Interviewee: So I usually look up the trail on Apple or Google Maps and see how long it is. Also, if there are any online maps for the park on the park website, I wear appropriate clothing for the weather. That's about it. 
Interviewer: So when you say you look it up and look up the trail in maps, how do you decide that this is the trail you want to go with? 
Interviewee: So I look for trails in parks that don't have kid playgrounds because I think those trails tend not to be as challenging. Yeah, like they're sidewalk kind of trails, but sometimes I'm fine with a sidewalk, especially if it's a really hot day. Then I will go for a tree-covered trail; sometimes I'll go walk by a lake if it's not a particularly windy day. 
Interviewer: Okay, okay, so just a follow-up, you prefer the trail to be in a park or did you mean that it shouldn't be in a park? 
Interviewee: It should be in a park but not like a playground park. There are some parks that I go to that do have attached playgrounds, but they also have separate dedicated trails, so I will still go to those parks. But when I say park, I mean everything from your city park to a state park. I don't generally do trails that are not within parks. I like open trails, and I like to do those loop trails. Yes, yeah.","So, you did say that depending on the day and weather, you prefer tree-covered trails. Does that mean you're just looking for shade, like if it's sunny and you're not talking about other weather like rain?",3,Preference
Restaurant finding,"Interviewer: Are there any specific types of cuisines or dishes that you tend to prefer?
Interviewee: I prefer the cheaper ones, but I also want them to be healthy because I want to stay in good shape. So, I prefer the relatively healthier ones. The atmosphere of a restaurant is not so important to me, especially if I go out by myself. But if I go to some restaurants with my friends, like if I have a team party or a team dinner or such kind of stuff, then I pay attention to the atmosphere. But I don't really care, actually.
Interviewer: Okay, okay. Do you prioritize restaurants that offer a particular dining experience, like fine dining or casual dining, or say, themed restaurants like, for example, Harry Potter or Game of Thrones?
Interviewee: Actually, I don't really like those kinds of themed restaurants, so I usually prefer to go with the casual ones.",Are there any dietary restrictions or special considerations that influence your restaurant choices?,0,Topic change
Restaurant finding,"Interviewer: Are there any dietary restrictions or special considerations that influence your restaurant choices?
Interviewee: I'm not on any specific diet. Actually, no, I don't have any restrictions. I can eat any meat, and I can eat any vegetables. I'm not even a vegetarian, so yeah, I know.","Okay, got it. So, the next section, the next set of questions, is going to be about recommendations and how you do your research on the restaurants you are going to. How do you typically find out about new restaurants or dining options? Do you usually use internet tools like Google Maps or Yelp?",0,Topic change
Restaurant finding,"Interviewer: Okay, got it. The next set of questions is going to be about recommendations and how you do your research on the restaurants you are going to. How do you typically find out about new restaurants or dining options? Do you usually use internet tools like Google Maps or Yelp? 
Interviewee: I usually use Google Maps and browse to see the neighborhood, and check reviews on specific restaurants to determine whether they are good or not. Whenever I find a good restaurant, I just go there and try it. 
Interviewer: Okay, do you rely on online reviews, word-of-mouth recommendations, or any other sources of recommendations? 
Interviewee: Like you said, Yelp.","Okay, yeah, so how much importance do you place on the overall ambiance or atmosphere of a restaurant?",0,Topic change
Restaurant finding,"Interviewer: Okay, yeah, so how much importance do you place on the overall ambience or atmosphere of a restaurant? 
Interviewee: If I go out by myself, I've never heard of it. No, I don't like restaurants with themes like, for example, Harry Potter or Game of Thrones. Online reviews, like those on Yelp or word of mouth, play a more important role. I usually read the online reviews, especially if there's a point or star rating. If a specific restaurant has a good rating or good stars, I rely on those kinds of factors. And if a restaurant has a high rating, I think I will go there, yeah.","So, do you consider a restaurant's proximity to your location when you're making a decision?",0,Topic change
Restaurant finding,"Interviewer: So, do you consider a restaurant's proximity to your location when you're making a decision? 
Interviewee: Yeah, sure. It matters to me because I don't have a car. The only transportation I can take is walking or the bus, so if it's closer, it's better. So, yeah, that's the case.",Have you ever used social media platforms to discover or explore restaurants through influencer recommendations?,0,Topic change
Restaurant finding,"Interviewer: Have you ever used social media platforms to discover or explore restaurants or influencer recommendations?
Interviewee: No, actually I've never used them. Actually, no, I've never. I'm not a social media person. I have never, and I don't use Twitter or Facebook or Instagram much, so that's why I don't use those.","Okay, so the next set of questions is going to be about the quality and service. What indicators or signs do you look for to assess the quality of a restaurant?",0,Topic change
Restaurant finding,Error parsing input: Unsupported input format,How important is it for you to consider factors like food freshness and presentation?,0,Topic change
Restaurant finding,"Interviewer: How important is it for you to consider factors like food freshness and presentation? 
Interviewee: When I am alone, I don’t mind eating the food even if it doesn't look good. It is more about its taste.",What about friendly service when choosing a restaurant?,0,Topic change
Restaurant finding,"Interviewer: What about friendly service when choosing a restaurant? 
Interviewee: What do you mean when you say friendly service? 
Interviewer: By the question, I mean like, do the waitstaff stop being friendly to you, and how attentive they are, or what is the speed of service like, how fast do they bring your food? 
Interviewee: Actually, even for that, I don't care much about those kinds of things. I can wait, yeah, yeah.","So, have you had a particularly positive experience with any restaurant that you would like to talk about? If yes, what was it, and what made the difference?",0,Topic change
Restaurant finding,"Interviewer: So have you had a particularly positive experience with any restaurant that you would like to talk about? If yes, what was it? What made the difference? 
Interviewee: That's a good question. I think, for me, especially if I go to dinner with my friend and another person, if the food tastes good and it is unique, I feel that it stands out from other restaurants. I have been to some Mexican restaurants, and one of them is called The X Place. I went there with my friends, and the quesadillas were actually so great. The speed of service, however, was not that good. I can't say it's the best service, but I remember that place was good because the taste was so great, yeah.",Do you have a particularly negative experience that you can think of with any restaurant?,0,Topic change
Restaurant finding,"Interviewer: Do you have a particularly negative experience that you can think of with any restaurant?
Interviewee: Yeah, so I actually did something like a food truck by myself and I ate something. I'm not sure what the name of the cuisine was, but the portion and the taste were not good. Actually, the portion was so little. I wasn’t satisfied with the portion, and the taste was not up to my liking. So I decided I'm not going to go there again.","So the next set of questions is going to be about value for money. How do you determine whether a restaurant gives good value for the price you are paying? Do you have specific factors such as pricing, portion size, ingredients, or overall dining experience? Like you said, the portion size wasn't really great.",0,Topic change
Restaurant finding,"Interviewer: So the next set of questions is going to be about value for money. How do you determine whether a restaurant gives good value for the price you're paying? Do you have specific factors such as pricing, portion size, ingredients, or overall dining experience? Like, right now you said the portion size wasn't really great. 
Interviewee: Yeah, yeah. So, yeah, I think I'm looking for the right balance. It's a balance between the pricing and the portion. So even if it is expensive but it has a great amount of portion, I think I will assume that it's a good thing. If it's not balanced, like if it has a great price but very little portion, I think it's not worth it. I think I will hate it.","Do you consider the restaurant's price range or affordability when you make your decision, or is it just the other factors?",0,Topic change
Restaurant finding,"Interviewer: Okay, do you have any strategies for finding good deals or discounts at restaurants? Have you done that actively? 
Interviewee: Yeah, like at first, I go online to see some coupons or discounts I've got. Yeah, some restaurants have coupons on their site, so I will check those. Yeah, yeah.",Have you ever been willing to pay more for a restaurant that you perceived as offering exceptional value?,0,Topic change
Restaurant finding,"Interviewer: Have you ever been willing to pay more for a restaurant that you perceived as offering exceptional value? 
Interviewee: No, actually I've never done that. I just don't pay more even if I have a good experience. Sometimes I pay if it's a great restaurant, and like, if I have to pay a tip, I will, but if I don't have to pay it, I don't. I don't usually do that.","Do you—so we're down to the last couple of questions—these are just going to be a bit more generic and summarizing. Do you have any specific expectations when it comes to things like seating preferences or noise level inside the restaurant? Seating preferences could include private dining areas, live entertainment, or perhaps outdoor seating.",0,Topic change
Restaurant finding,"Interviewer: So, we're down to the last couple of questions. These are just going to be a bit more generic and summarizing. Do you have any specific expectations when it comes to seating preferences or noise levels inside the restaurant? Like seating preference or touch, like if you have private dining areas, live entertainment, or perhaps outdoor seating?

Interviewee: Oh yeah, I actually don't care much about it because, usually, if I go by myself, even if it is noisy, I don't care. And even if I go there with a team or friends, the noisier, the better. Like, an exciting atmosphere, right? So, it doesn't really affect me. It's about being an exciting experience, so I think noisier, a lot of people in the restaurant, yeah.","Are there any, so do you have any strong ideas or preferences to support local or independent restaurants versus larger chains?",0,Topic change
Restaurant finding,"Interviewer: Do you have any strong preferences for supporting local or independent restaurants versus larger chains? 
Interviewee: I've never thought about that, actually. I don't care much about it because I go to local restaurants if they look good. Well, yeah, but sometimes I also go to the global chains like McDonald's or Chipotle.","Yeah, do you take into consideration a restaurant's sustainability practices or commitment to using local ingredients when making a decision?",0,Topic change
Restaurant finding,"Interviewer: Yeah, do you take into consideration a restaurant's sustainability practices or commitment to using local ingredients when making a decision? 
Interviewee: Actually, yeah, I've never thought about that. I don't care much about it.","Okay, is there anything else that we haven't spoken about but you want to add about your approach to choosing restaurants?",0,Topic change
Restaurant finding,"Interviewer: Okay, you said, 'anything else that we haven't spoken about, but you want to add about your approach to choosing restaurants.' 
Interviewee: Yeah, they are not restaurants, but sometimes I go to local cafes by myself to study. So, in that case, the criteria would be a little bit different from restaurants because the main purpose of going to those cafes is to study, not for eating or for lunch or dinner. In that case, how quiet it is or if the environment is free really matters to me.","Okay, got it. Yeah, so I think that's pretty much it. Thank you so much for your time and thoughts on this.",0,Topic change
Hiking trail finding,"Interviewer: Describe the process that you follow while going on a hiking trail.
Interviewee: I usually look up the trail in Apple, Google Maps, I will see how long it is. also if there's any online maps for the park at the park website. I wear appropriate clothing for the weather. that's about it
Interviewer: When you see you look up the trail in maps, how do you decide that this is the trail you want to go with
Interviewee: I look for trails at the parks that don't have kid playgrounds because I think those trails tend to not be as challenging. yeah like they're sidewalk kind of trails but sometimes I'm more than good for a sidewalk, especially if it's a hot day, then I will go for a tree-covered trail; versus sometimes I'll go walk by a lake  it's not a particular windy day 
Interviewer: So just a follow-up you prefer the trail to be in a park, or did you mean that it shouldn't be in a park
Interviewee: it should be in a park but not like a playground park there are some parts that I go to the do have attached playgrounds but they also have like separate dedicated Trails so then I will still go to those parks  but when I say Park I mean everything from like your  city park to State Park  I don't generally do trails that are not within parks  I like open and this Trails I like to do  those Loop trails  yes yeah
Interviewer: so also you did say depending on the day and weather you prefer tree covered so does that mean you're just looking for shade like if if it's sunny and you're not talking about other weather like rainy
Interviewee: well I don't do trails in the rain   I have been to a couple of one Trail in the rain but that was Trail model  I don't like getting wet, but my main concern here is the Sun","{'Speaker': 'Interviewer', 'Utterance': 'So you also talked about taking into account how long the trail is. Could you tell me how you decide if a trail is too long or too short?'}",0,Topic change
Hiking trail finding,"Interviewer: So, you also talked about taking into account how long the trail is. Could you tell me how you decide if a trail is too long or too short? Okay, okay. 
Interviewee: Yes, well, I go by how many miles it is. Usually, state parks or even most parks in my city have published information regarding how long one loop of the trail is. I try to walk at least a mile at a time. I go up to like four miles sometimes if I want to spend longer. I also know my average mile time, so I know exactly how much time it will take me to do a trail. If I want to walk for an hour or two hours, then I will go for like a smaller trail. I should do something like shorter trails and do a bunch of loops, bordering from walking alone. 
Interviewer: Okay, so you're saying you decide based on how much distance you want to walk and also on the distance you can usually walk, like what's your average? Based on that, you make that decision. 
Interviewee: Yes.","You also talked about websites. So, is it a very simple 'does it have a website, yes or no,' or is there more to it?",0,Topic change
Hiking trail finding,"Interviewer: You also talked about websites. So, is it very simple? Does it have a website, yes or no, or is there more to it?
Interviewee: Generally, if I'm trying out a new trail, I will prefer ones that have a website. I don't like going in blind unless it's something that one of my friends has been doing, and they're taking me. Generally, if not a website of the trail itself, then maybe like if some blog is talking about it, I will look that up. Preferred, highly preferred, like a government website, but I won't completely rule it out if it doesn't have one.
Interviewer: You're saying it's not an exact black and white, something you'll eliminate?
Interviewee: Yeah, mostly it's from, like, a safety standpoint. It makes me feel safer if I see pictures of it, and then I can always do satellite pictures, but I feel like actual pictures — they can be better for me to look at.","No, you also talked about the weather. So, I think I did touch upon it, but I just want to get some more clarity. You're saying you want the weather?",0,Topic change
Hiking trail finding,"Interviewer: No, you also talked about the weather, so I think I did touch upon it, but I just want to get some more clarity. You're saying you want the weather–you said maybe not rainy, but you're okay with hiking if it's too sunny. 
Interviewee: Yes. 
Interviewer: Could you also comment on the temperature? Does that come into play? 
Interviewee: Yes, it affects if I'm deciding to go out on my own, but I am pretty into walking. I've gone to trails when it's like 200° heat. I don't love it. I always have water and I have this water bottle holder for my hand, so I will just take water during trails. I do not like to go when it's cold and windy because it makes my throat hurt. I don't love that, so if I'm picking between extreme temperatures, I'll choose hot because then I can always get a covered trail. Usually, in the winter, the trees are bare, so they don't offer any protection against the wind.",Got it. So does the proximity also play a factor?,0,Topic change
Hiking trail finding,"Interviewer: Got it. So, does proximity also play a factor?
Interviewee: Yes, if I'm just walking after work or I need to decompress, then I will pick a smaller trail. Even though it's really small, like a badly maintained trail, I have picked like 4.6-mile loops to walk on an average day. But I have also driven more than 22 miles or like 80 miles to do bigger ones, perhaps because they have elevation or points of interest along the trail, like overlooks. So it depends on what I'm looking for out of the trail.","Could you talk about suggestions from your friends? If someone suggests a particular trail, does that also factor in when you're planning a hike?",0,Topic change
Hiking trail finding,"Interviewer: When we talk about suggestions from your friends, if someone suggests a particular trail, does that also factor into your decision when you're planning a hike?
Interviewee: Yes, definitely. If they recommend it, then I will strongly consider it.
Interviewer: Okay, would you say that you look it up on Google Maps or Apple Maps after the suggestion?
Interviewee: Yeah.
Interviewer: So with everything that we talked about right now, you would still go through that, but you would just narrow down your search.
Interviewee: Yeah, yeah, or I'll be biased toward it if someone's recommended it, versus a trail that I've just happened upon blindly.",What about the safety of the trail? I think you touched upon that; could you elaborate on that?,0,Topic change
Hiking trail finding,"Interviewer: What about the safety of the trail? I think you touched on that. Could you elaborate? 
Interviewee: Yeah, I either go to state parks or I will always go with a friend, always during the day or overnight. If I'm going alone, I will go on a suburban open trail where I know there will be people, and I go in cities that are safe. For example, there's the very famous Katy Trail, but it touches upon areas I don't personally find safe, like downtown. It goes from downtown to very safe areas, or, you know, uptown for that matter, in comparison to the suburbs, so I will not drive far even if it's a pretty trail. 
Interviewer: Okay, so this is pretty black and white. There are some things you would eliminate if they are not safe. 
Interviewee: Yes, and I don't really have a quantitative or logical process for what I think is safe. There are also things that I find irrationally unsafe, but I just err on the side of caution. And yeah.","Okay, do you also factor in the network connectivity of an area that you're going into?",0,Topic change
Hiking trail finding,"Interviewer: Okay, okay, do you also factor in the network connectivity of an area that you're going into? 
Interviewee: Well, no, but I feel like you've given me another parameter to evaluate future trails on. In general, I have been like, I expect when I go to state parks that my connectivity will be low. However, I am pretty good at using the maps that they give at the entrance; you figured out where I am at. I will always take those and actually save them, so that's like a 4-in-2 deal. Of course, I will have looked up the park beforehand, so I will already have information on where things are. I will also make sure to park my car near a restroom and always have a big pack of water in my car, and carry as much water as I need. My phone is fully charged. I do, but I generally also plan to always be done hiking before sunset. Regardless of when the park is open, most parks are open until sunset, some are open until five, but even the parks that say on Google that they open till 5:00 don't really have a gate, so I don't know how that works. State parks usually have a set-in time, but I never... Do you need me to repeat? Yeah, I can hear you.","Okay, got it. Do you also consider some types of wildlife or insights related to when you're deciding?",0,Topic change
Hiking trail finding,"Interviewer: Okay, got it. To be also considered, are there some types of wildlife or insights related when you're deciding?
Interviewee: Yeah, in a sense, I know that most parks that are near civilization will not have as much untouched wildlife. Generally, I'm a pretty big bug-fearing person, so I know and I've suspected that state parks would have more bugs, and that is definitely true in my experience. But I just kind of brave it. That also means I don't go to state parks as often, but there are more factors to that than just the bugs. They're farther and need more time to do properly, and they also have entrance fees.","Okay, okay. I think I have what I need. I will summarize it once to make sure that I have understood exactly what is on your mind. Firstly, you start by looking it up on Apple Maps. You make sure that you prefer it to be in some park and that it does not have a kids' playground around. You prefer non-paved trails, so that means there shouldn't be sidewalks, preferably. Depending on the day or the time of the day, you would look for trails that are covered by trees.",0,Topic change
Hiking trail finding,"Interviewer: So when it comes to the proximity to the trail, you make that decision based on, like, I'll use the word 'mood.' For example, if it's a small walk, then you would prefer something nearby. But if you're looking for a bigger walk or something that has a good point of interest, then you're more open to a trail that is further away. 
Interviewee: Yes, also, it's usually the like a weekday-weekend thing. Yes, I will prefer closer trails.","Okay, so, though, would you be okay with the idea of going to further away places?",0,Topic change
Hiking trail finding,"Interviewer: So when it comes to the proximity of the trail, you make that decision based on, like, I'll use the word mood, your mood. For your information, if it's a small walk, then you would prefer something nearby. But if you're looking for a bigger walk or if you're looking for something that has a good point of interest, then you're more open to a walk or trail that is further away.
Interviewee: Yes, also, it's usually like a weekday-weekend thing. Yes, I will prefer closer trails.
Interviewer: Okay, so, okay, so then you would be okay with the idea of going to further away places on the weekend?
Interviewee: Yeah, I would actually prefer further away trails on weekends because I can't usually go to them on weekdays.","Got it, got it. Okay, I think that is it. Thank you for your time, I will try to be in touch with you for any further updates.",0,Topic change
Restaurant finding,"Interviewer: Okay, got it. Okay, so the next section, the next set of questions, is going to be about recommendations and how you do your research on the restaurants you are going to. How do you typically find out about new restaurants or dining options? Do you usually use tools like Google Maps or Yelp?
Interviewee: So, usually, I use Google Maps and like browsing. Actually, I can see the neighborhood and check reviews on specific restaurants to see whether they are good or not. Whenever I find something like a good restaurant, I just go there and try it.","Okay, do you rely on online reviews, word-of-mouth recommendations, or any other sources of recommendation?",2,Question probing
Hiking trail finding,"Interviewer: So you also talked about taking into account how long the trail is. Could you tell me how you decide if a trail is too long or too short? Okay, okay. 
Interviewee: Yes, well, I go by how many miles it is. Usually, state parks or even most of the parks in my city have published information regarding how long one loop of the trail is. I try to walk at least a mile at a time. I go up to four miles sometimes if I want to spend longer. I also know my average mile time, so I know exactly how much time it will take me to do a trail. If I want to like walk for an hour or two hours, then I will go for like a mile trail. I should do something like shorter trails and do a bunch of loops to avoid getting bored from walking alone.","Okay, so you're saying you decide based on how much distance you want to walk and also how much distance you can usually walk, like what's your average? Based on that, you make the decision.",2,Confirmation
Hiking trail finding,"Interviewer: You also talked about websites, so is it very simple? Does it have a website, yes or no, or is there more to it? 
Interviewee: Generally, if I'm trying out a new trail, I will prefer ones that have a website. I don't like going in blind unless it's something that one of my friends has been doing, and they're taking me. Generally, if not the website of the trail itself, then maybe like if someone, some blog, is talking about it, I will look that up. Highly preferred, like a government website, but I won't completely rule it out if it doesn't have one.","You're saying it's not an exact black and white criteria, something you'll eliminate?",2,Confirmation
Hiking trail finding,"Interviewer: No, you also talked about the weather, so I think I did touch upon it, but I just want to get some more clarity. You're saying you want the weather, you said maybe not rainy, but you're okay with hiking if it's too sunny. 
Interviewee: Yes.",Could you also comment on the temperature? Does that come into play?,2,Question probing
Hiking trail finding,"Interviewer: Let's talk about suggestions from your friends. So, if someone suggests a particular trail, does that also become a factor when you're deciding or planning a hike? 
Interviewee: Yes, definitely. If they recommend it, then I will strongly consider it.","Okay, and then would you say that you look it up on Google Maps or Apple Maps after the suggestion?",2,Question probing
Hiking trail finding,"Interviewer: What about the safety of the trail? I think you touched upon that. Could you elaborate on that? 
Interviewee: Yeah, I either go to state parks or I will always go with a friend, always during the day, overnight. If I'm going alone, I will go on an open trail in a suburban area where I know there will be people and in cities that turn out to be safe. For example, there's a very famous Katy Trail, but it touches upon parts I don't personally find safe, like downtown. It goes from downtown to very safe or, you know, uptown for that matter, compared to the suburbs. So, I will not drive far even if it's a pretty trail.","Okay, so this is pretty black and white. There's something you would eliminate if it's not safe?",2,Confirmation
Hiking trail finding,"Interviewer: Okay, okay. I think I have what I need. I will summarize it once to make sure I have understood exactly what is on your mind. Firstly, you start by looking it up on Apple Maps. You make sure that you prefer it's in some park and that it does not have a kids' playground around. You prefer non-paved trails, so that means there shouldn't be sidewalks, preferably. Depending on the weather, you would look for trails that are covered by trees. 
Interviewee: Yes, I would just say instead of the time of the day, it's the weather.","Interviewer: Okay, weather then. For the distance or the length of the trail, you make that decision based on how much distance you're actually willing to cover, and you also factor in your average distance that you usually go. Coming to the website, you prefer that the parks have their own websites. If it's a new trail, you prefer there is a website, preferably a government website. It's not exactly a deal breaker, but you could be a little lenient here.",2,Confirmation
Hiking trail finding,"Interviewer: To talk about suggestions from your friends, if someone suggests a particular trail, does that also factor into your decision when you're planning a hike?
Interviewee: Yes, definitely. If they recommend it, then I will definitely strongly consider it.
Interviewer: Okay, and then would you say that you will look it up on Google Maps or Apple Maps after the suggestion?
Interviewee: Yeah.","So, everything that we talked about right now, you would still go through that, but you would just narrow down your search. Correct?",4,Confirmation
Hiking trail finding,"Interviewer: Okay, okay. I think I have what I need. I will summarize it once to make sure that I have understood exactly what is on your mind. Firstly, you start with looking it up on Apple Maps. You make sure that you prefer it to be in some park and that it does not have a kids' playground around. You prefer non-paved trails, so that means there shouldn't be sidewalks, preferably. Depending on the weather, you would look for trails that are covered by trees.
Interviewee: Yes, I would just say, instead of the time of the day, it's the weather.
Interviewer: Okay, weather. Then, for the distance or the length of the trail, you make that decision based on how much distance you're actually willing to cover, and you also factor in the average distance that you usually go. Coming to the website, you prefer that the parks have their own websites. You are usually lenient; if it's a new trail, then you prefer that there is a website, preferably a government website. It's not exactly a deal breaker, but you could be a little lenient here.
Interviewee: Yes.","And then coming to the weather: based on the weather you carry caps, water, and if it's hot and sunny. But if the weather is cold and windy, you would prefer not to go to that particular trail. Okay?",4,Confirmation
Hiking trail finding,"Interviewer: Okay, okay. I think I have what I need. I will summarize it once to make sure that I have understood exactly what is on your mind. Firstly, you start by looking it up on Apple Maps. You make sure that you prefer it to be in a park and that it does not have a kids' playground around. You prefer non-paved trails, so that means that there shouldn't be sidewalks, preferably, and depending on the weather, you would look for trails that are covered by trees. 
Interviewee: Yes, I would just say instead of the time of the day, it's the weather. 
Interviewer: Okay, weather then. For the distance or the length of the trail, you make that decision based on how much distance you're actually willing to cover, and you also factor in the average distance that you usually go. Coming to the website, you prefer that the trails have their own websites. You are usually lenient if it's a new trail, then you prefer that there is a website, preferably a government website, and while this is not exactly a dealbreaker, you could be a little lenient here. 
Interviewee: Yes. 
Interviewer: And then coming to the weather, based on the weather you carry caps, water, and, if it’s hot and sunny weather, but if the weather is cold and windy, you would prefer not to go to that particular trail. Okay? 
Interviewee: Yeah, I'll go to any trail. I will cover up, like using a mask and a puffer jacket. This is like talking proper winter time. But then, in that case, I will probably do smaller trails, yeah.","Interviewer: So when it comes to the proximity to the trail, you make that decision based on your mood. If it's a small walk, then you would prefer something nearby, but if you're looking for a bigger walk or if you're looking for something that has a good point of interest, then you're more open to a trail that is further away.",6,Confirmation
Apartment finding,"Interviewer: Okay, and you mentioned that pricing was a challenge. Did you encounter any other challenges in the process?
Interviewee: When I was looking to rent because of COVID, I had to basically make a decision based on just the videos of the places I was looking at, and I couldn't actually visit in person. But that's not really that bad.
Interviewer: You mentioned that you looked for an apartment during COVID. What kind of means did you use to search for this apartment?
Interviewee: Just sort of like, you know, my friends would tell me about a management company, and then I would just go to their website directly. Then there's also—I think I looked at Zillow for renting and that was helpful. But I didn't really use any, like, crazy apps or technologies all that much. It was just Googling.","So, if you want to recommend someone to look for an apartment, what kind of resources would you suggest?",1,Answer probing
